"Instytucja wybierana";"Kod terytorialny";"Nr okręgu";"Liczba mandatów";"Liczba komitetów";"Liczba kandydatów";"Liczba wyborców";"Granice okręgu wyborczego"
"Senat";"SNT/28";"28";"1";"5";"5";"321820";"powiaty: bełchatowski, piotrkowski, radomszczański oraz miasto na prawach powiatu: Piotrków Trybunalski"
"Senat";"SNT/29";"29";"1";"4";"4";"270764";"powiaty: opoczyński, rawski, skierniewicki, tomaszowski oraz miasto na prawach powiatu: Skierniewice"
"Senat";"SNT/30";"30";"1";"5";"5";"512929";"powiaty: chrzanowski, myślenicki, oświęcimski, suski, wadowicki"
"Senat";"SNT/31";"31";"1";"5";"5";"338536";"powiaty: krakowski, miechowski, olkuski"
"Senat";"SNT/32";"32";"1";"3";"3";"287308";"część obszaru miasta na prawach powiatu Kraków: Dzielnica II, Dzielnica III, Dzielnica IV, Dzielnica XIV, Dzielnica XV, Dzielnica XVI, Dzielnica XVII, Dzielnica XVIII"
"Senat";"SNT/33";"33";"1";"4";"4";"296100";"część obszaru miasta na prawach powiatu Kraków: Dzielnica I, Dzielnica V, Dzielnica VI, Dzielnica VII, Dzielnica VIII, Dzielnica IX, Dzielnica X, Dzielnica XI, Dzielnica XII, Dzielnica XIII"
"Senat";"SNT/34";"34";"1";"5";"5";"275622";"powiaty: bocheński, brzeski, proszowicki, wielicki"
"Senat";"SNT/35";"35";"1";"5";"5";"293534";"powiaty: dąbrowski, tarnowski oraz miasto na prawach powiatu: Tarnów"
"Senat";"SNT/36";"36";"1";"4";"4";"293838";"powiaty: limanowski, nowotarski, tatrzański"
"Senat";"SNT/37";"37";"1";"2";"2";"311000";"powiaty: gorlicki, nowosądecki oraz miasto na prawach powiatu: Nowy Sącz"
"Senat";"SNT/38";"38";"1";"5";"5";"395740";"powiaty: gostyniński, płocki, sierpecki, sochaczewski, żyrardowski oraz miasto na prawach powiatu: Płock"
"Senat";"SNT/39";"39";"1";"7";"7";"279022";"powiaty: ciechanowski, mławski, płoński, przasnyski, żuromiński"
